# OpenSignals Text File Format
# {"00:07:80:3B:46:38": {"sensor": ["ECG"], "device name": "00:07:80:3B:46:38", "column": ["nSeq", "DI", "X"], "sync interval": 2, "time": "10:15:27.846", "comments": "", "device connection": "BTH00:07:80:3B:46:38", "channels": [1], "date": "2016-6-23", "mode": 0, "digital IO": [0, 1], "firmware version": 772, "device": "biosignalsplux", "position": 0, "sampling rate": 100, "label": ["X"], "resolution": [16], "special": [{}]}}
# EndOfHeader
0	0	33334	
1	0	33260	
2	0	33061	
3	0	33300	
4	0	33309	
5	0	33478	
6	0	33360	
7	0	33084	
8	0	33414	
9	0	33420	
10	0	33473	
11	0	33351	
12	0	33264	
13	0	33272	
14	0	33261	
15	0	33272	
16	0	32964	
17	0	32976	
18	0	32996	
19	0	32848	
20	0	32812	
21	0	32806	
22	0	32800	
23	0	32816	
24	0	32756	
25	0	32906	
26	0	32902	
27	0	32971	
28	0	32858	
29	0	32908	
30	0	32814	
31	0	32760	
32	0	32790	
33	0	32804	
34	0	32704	
35	0	32832	
36	0	32736	
37	0	32934	
38	0	32813	
39	0	32680	
40	0	32708	
41	0	32771	
42	0	32872	
43	0	32612	
44	0	32967	
45	0	32690	
46	0	32640	
47	0	32592	
48	0	32804	
49	0	32617	
50	0	32761	
51	0	32773	
52	0	32608	
53	0	32542	
54	0	32800	
55	0	32742	
56	0	32881	
57	0	32609	
58	0	32580	
59	0	32602	
60	0	32628	
61	0	32516	
62	0	32496	
63	0	32612	
64	0	32428	
65	0	32652	
66	0	32520	
67	0	32619	
68	0	32769	
69	0	32822	
70	0	32711	
71	0	33314	
72	0	33226	
73	0	31482	
74	0	30013	
75	0	30279	
76	0	31777	
77	0	32658	
78	0	32998	
79	0	33014	
80	0	33034	
81	0	33152	
82	0	33016	
83	0	33176	
84	0	33082	
85	0	33045	
86	0	32936	
87	0	32692	
88	0	32864	
89	0	33120	
90	0	33056	
91	0	32885	
92	0	32672	
93	0	33065	
94	0	33069	
95	0	32915	
96	0	33108	
97	0	33064	
98	0	33108	
99	0	33243	
100	0	33082	
101	0	32846	
102	0	33016	
103	0	32720	
104	0	32775	
105	0	32834	
106	0	32654	
107	0	32728	
108	0	32584	
109	0	32658	
110	0	32708	
111	0	32602	
112	0	32711	
113	0	32916	
114	0	32704	
115	0	32856	
116	0	32666	
117	0	32728	
118	0	32668	
119	0	32480	
120	0	32720	
121	0	32808	
122	0	32662	
123	0	32674	
124	0	32775	
125	0	32786	
126	0	32812	
127	0	32760	
128	0	32672	
129	0	32572	
130	0	32510	
131	0	32760	
132	0	32692	
133	0	32705	
134	0	32899	
135	0	32758	
136	0	32775	
137	0	32830	
138	0	32610	
139	0	32692	
140	0	32836	
141	0	32757	
142	0	32642	
143	0	32902	
144	0	32876	
145	0	32758	
146	0	32775	
147	0	32713	
148	0	32595	
149	0	32792	
150	0	32633	
151	0	32723	
152	0	32770	
153	0	32738	
154	0	32786	
155	0	32699	
156	0	32770	
157	0	32738	
158	0	32696	
159	0	33350	
160	0	33256	
161	0	31672	
162	0	29932	
163	0	30422	
164	0	31928	
165	0	32694	
166	0	32988	
167	0	32964	
168	0	33264	
169	0	33105	
170	0	33090	
171	0	33270	
172	0	33152	
173	0	33232	
174	0	33232	
175	0	33200	
176	0	33115	
177	0	33095	
178	0	33052	
179	0	33112	
180	0	33154	
181	0	33144	
182	0	33120	
183	0	33138	
184	0	33276	
185	0	33376	
186	0	33260	
187	0	33281	
188	0	33303	
189	0	33175	
190	0	33041	
191	0	33103	
192	0	32912	
193	0	33014	
194	0	32953	
195	0	32803	
196	0	32775	
197	0	32800	
198	0	32745	
199	0	32808	
200	0	32836	
201	0	33021	
202	0	32967	
203	0	32658	
204	0	32767	
205	0	32827	
206	0	32775	
207	0	32874	
208	0	32729	
209	0	32592	
210	0	32752	
211	0	32688	
212	0	32702	
213	0	32775	
214	0	32690	
215	0	32635	
216	0	32670	
217	0	32722	
218	0	32524	
219	0	32647	
220	0	32548	
221	0	32716	
222	0	32646	
223	0	32696	
224	0	32676	
225	0	32680	
226	0	32405	
227	0	32624	
228	0	32624	
229	0	32813	
230	0	32538	
231	0	32835	
232	0	32784	
233	0	32775	
234	0	32754	
235	0	32748	
236	0	32800	
237	0	32890	
238	0	32713	
239	0	32647	
240	0	32642	
241	0	32626	
242	0	32370	
243	0	32624	
244	0	32676	
245	0	32363	
246	0	32426	
247	0	32594	
248	0	32541	
249	0	32573	
250	0	32556	
251	0	33053	
252	0	33488	
253	0	32279	
254	0	30169	
255	0	30498	
256	0	31513	
257	0	32749	
258	0	33211	
259	0	33264	
260	0	33436	
261	0	33488	
262	0	33168	
263	0	33550	
264	0	33490	
265	0	33415	
266	0	33469	
267	0	33398	
268	0	33168	
269	0	33324	
270	0	33316	
271	0	33240	
272	0	33428	
273	0	33322	
274	0	33403	
275	0	33287	
276	0	33474	
277	0	33500	
278	0	33392	
279	0	33332	
280	0	33560	
281	0	33287	
282	0	33241	
283	0	32952	
284	0	32997	
285	0	32950	
286	0	32740	
287	0	32908	
288	0	32698	
289	0	32696	
290	0	32560	
291	0	32790	
292	0	32624	
293	0	32802	
294	0	32561	
295	0	32754	
296	0	32690	
297	0	32552	
298	0	32550	
299	0	32704	
300	0	32576	
301	0	32594	
302	0	32707	
303	0	32612	
304	0	32691	
305	0	32583	
306	0	32488	
307	0	32668	
308	0	32414	
309	0	32413	
310	0	32610	
311	0	32724	
312	0	32540	
313	0	32588	
314	0	32621	
315	0	32528	
316	0	32658	
317	0	32600	
318	0	32717	
319	0	32664	
